2000000,40000,2000000000,10000,0.09,0.90,0.01,0.90,0.00
2000000,40000,2000000000,10000,0.09,0.90,0.01,0.50,0.00
2000000,40000,2000000000,10000,0.09,0.90,0.01,0.90,0.05
2000000,40000,2000000000,10000,0.09,0.90,0.01,0.50,0.05
2000000,40000,2000000000,10000,0.09,0.90,0.01,0.90,0.50
2000000,40000,2000000000,10000,0.09,0.90,0.01,0.50,0.50
20000000,400000,2000000000,10000,0.09,0.90,0.01,0.90,0.00
20000000,400000,2000000000,10000,0.09,0.90,0.01,0.50,0.00
20000000,400000,2000000000,10000,0.09,0.90,0.01,0.90,0.05
20000000,400000,2000000000,10000,0.09,0.90,0.01,0.50,0.05
20000000,400000,2000000000,10000,0.09,0.90,0.01,0.90,0.50
20000000,400000,2000000000,10000,0.09,0.90,0.01,0.50,0.50
200000000,4000000,2000000000,1000000,0.09,0.90,0.01,0.90,0.00
200000000,4000000,2000000000,1000000,0.09,0.90,0.01,0.50,0.00
200000000,4000000,2000000000,1000000,0.09,0.90,0.01,0.90,0.05
200000000,4000000,2000000000,1000000,0.09,0.90,0.01,0.50,0.05
200000000,4000000,2000000000,1000000,0.09,0.90,0.01,0.90,0.50
200000000,4000000,2000000000,1000000,0.09,0.90,0.01,0.50,0.50
2000000000,40000000,2000000000,1000000,0.09,0.90,0.01,0.90,0.00
2000000000,40000000,2000000000,1000000,0.09,0.90,0.01,0.50,0.00
2000000000,40000000,2000000000,1000000,0.09,0.90,0.01,0.90,0.05
2000000000,40000000,2000000000,1000000,0.09,0.90,0.01,0.50,0.05
2000000000,40000000,2000000000,1000000,0.09,0.90,0.01,0.90,0.50
2000000000,40000000,2000000000,1000000,0.09,0.90,0.01,0.50,0.50
20000000000,400000000,20000000000,1000000,0.09,0.90,0.01,0.90,0.00
20000000000,400000000,20000000000,1000000,0.09,0.90,0.01,0.50,0.00
20000000000,400000000,20000000000,1000000,0.09,0.90,0.01,0.90,0.05
20000000000,400000000,20000000000,1000000,0.09,0.90,0.01,0.50,0.05
20000000000,400000000,20000000000,1000000,0.09,0.90,0.01,0.90,0.50
20000000000,400000000,20000000000,1000000,0.09,0.90,0.01,0.50,0.50
